main.presidents.FirstName,main.presidents.LastName,main.presidents.Party,main.presidents.DateOfBirth,main.presidents.StateOfBirth
Martin,Van Buren,Democratic,1782-12-05,New York
Ulysses,Grant,Republican,1822-04-27,Ohio
Jimmy,Carter,Democratic,1924-10-01,Georgia
John,Adams,Federalist,1735-10-30,Massachusetts
Chester,Arthur,Republican,1829-10-05,Vermont
John Quincy,Adams,Democratic-Republican,1767-07-11,Massachusetts
Woodrow,Wilson,Democratic,1856-12-28,Virginia
James,Monroe,Democratic-Republican,1758-04-28,Virginia
William,Taft,Republican,1857-09-15,Ohio
Abraham,Lincoln,Republican,1809-02-12,Kentucky
George,Bush,Republican,1924-06-12,Massachusetts
William Henry,Harrison,Whig,1773-02-09,Virginia
William,McKinley,Republican,1843-01-29,Ohio
John,Tyler,Whig,1790-03-29,Virginia
Richard,Nixon,Republican,1913-01-09,California
Dwight,Eisenhower,Republican,1890-10-14,Texas
Franklin,Pierce,Democratic,1804-11-23,New Hampshire
Thomas,Jefferson,Democratic-Republican,1743-04-13,Virginia
John,Kennedy,Democratic,1917-05-29,Massachusetts
Joe,Biden,Democratic,1942-11-20,Pennsylvania
Bill,Clinton,Democratic,1946-08-19,Arkansas
Warren,Harding,Republican,1865-11-02,Ohio
James,Madison,Democratic-Republican,1751-03-16,Virginia
Herbert,Hoover,Republican,1874-08-10,Iowa
Donald,Trump,Republican,1946-06-14,New York
Millard,Fillmore,Whig,1800-01-07,New York
Lyndon,Johnson,Democratic,1908-08-27,Texas
Ronald,Reagan,Republican,1911-02-06,Illinois
George,Bush,Republican,1946-07-06,Connecticut
Benjamin,Harrison,Republican,1833-08-20,Ohio
Andrew,Johnson,National Union,1808-12-29,North Carolina
James,Garfield,Republican,1831-11-19,Ohio
Zachary,Taylor,Whig,1784-11-24,Virginia
George,Washington,No Party,1732-02-22,Virginia
Gerald,Ford,Republican,1913-07-14,Nebraska
Harry,Truman,Democratic,1884-05-08,Missouri
Barack,Obama,Democratic,1961-08-04,Hawaii
Theodore,Roosevelt,Republican,1858-10-27,New York
Rutherford,Hayes,Republican,1822-10-04,Ohio
Franklin,Roosevelt,Democratic,1882-01-30,New York
James K.,Polk,Democratic,1795-11-02,North Carolina
Grover,Cleveland,Democratic,1837-03-18,New Jersey
James,Buchanan,Democratic,1791-04-23,Pennsylvania
Andrew,Jackson,Democratic,1767-03-15,South/North Carolina
Calvin,Coolidge,Republican,1872-07-04,Vermont
